country,release_year,genres,popularity,vote_count,vote_average,success,language_grouped,show_id,Primary_Genre,Primary_Country
South Korea,2010,"Comedy, Reality",1929.898,187,8.241,1,ko,0,Comedy,South Korea
United States of America,2010,"Talk, Comedy, News",1670.58,229,7.035,0,en,1,Talk,United States of America
Greece,2010,Reality,1317.092,6,5.6,0,Other,2,Reality,Greece
Czech Republic,2010,Reality,1095.776,6,6.5,0,Other,3,Reality,Czech Republic
"United States of America, Ireland",2010,Talk,712.07,12,3.4,0,en,4,Talk,United States of America
"United States of America, Singapore",2010,"Crime, Drama, Action & Adventure",616.862,1750,7.8,1,en,5,Crime,United States of America
United States of America,2010,"Action & Adventure, Drama, Sci-Fi & Fantasy",485.66,16790,8.103,1,en,6,Action & Adventure,United States of America
United States of America,2010,"Animation, Comedy",426.107,2045,8.621,1,en,7,Animation,United States of America
United Kingdom,2010,Documentary,581.634,8,5.0,0,en,8,Documentary,United Kingdom
Canada,2010,"Family, Talk",413.464,12,2.9,0,fr,9,Family,Canada
Denmark,2010,"Comedy, Talk",401.061,4,6.0,0,Other,10,Comedy,Denmark
"India, United States of America",2010,"Mystery, Drama, Soap",406.769,1,10.0,1,hi,11,Mystery,India
United States of America,2010,"Drama, Mystery",389.58,2637,8.0,1,en,12,Drama,United States of America
"United States of America, United Kingdom",2010,"Crime, Drama",361.43,906,7.8,1,en,13,Crime,United States of America
United States of America,2010,Reality,514.676,95,6.3,0,en,14,Reality,United States of America
Russia,2010,Comedy,336.57,103,7.0,0,Other,15,Comedy,Russia
United States of America,2010,Drama,324.023,2585,8.014,1,en,16,Drama,United States of America
United States of America,2010,"Action & Adventure, Drama",442.742,114,6.8,0,en,17,Action & Adventure,United States of America
United States of America,2010,Comedy,338.596,36,7.319,0,en,18,Comedy,United States of America
Unknown,2010,"Kids, News",435.509,1,5.0,0,en,19,Kids,Unknown
Canada,2010,Talk,328.765,1,6.5,0,fr,20,Talk,Canada
"United States of America, United Kingdom",2010,"Animation, Comedy, Sci-Fi & Fantasy",302.054,2826,8.5,1,en,21,Animation,United States of America
Brazil,2010,Soap,278.459,17,7.4,0,pt,22,Soap,Brazil
Belgium,2010,Soap,281.763,1,1.0,0,Other,23,Soap,Belgium
China,2010,"Animation, Kids, Comedy, Sci-Fi & Fantasy, Action & Adventure",264.317,5,7.8,1,zh,24,Animation,China
France,2010,"Animation, Family, Kids, Comedy",259.428,4,8.5,1,fr,25,Animation,France
Brazil,2010,"Soap, Drama, Family",254.477,3,6.5,0,pt,26,Soap,Brazil
Czech Republic,2010,"Soap, Drama",251.964,2,6.5,0,Other,27,Soap,Czech Republic
India,2010,Unknown,348.468,1,10.0,1,hi,28,Unknown,India
"Canada, United States of America",2010,"Animation, Comedy, Sci-Fi & Fantasy, Kids",227.511,657,8.1,1,en,29,Animation,Canada
Japan,2010,Drama,245.846,7,8.4,1,ja,30,Drama,Japan
Mexico,2010,Drama,266.749,286,7.5,1,es,31,Drama,Mexico
South Korea,2010,Reality,260.873,3,8.3,1,ko,32,Reality,South Korea
"Brazil, United States of America",2010,Drama,233.048,552,7.812,1,es,33,Drama,Brazil
Brazil,2010,Soap,214.841,13,6.5,0,pt,34,Soap,Brazil
"Egypt, United States of America",2010,"Comedy, Family, Drama",208.398,46,6.9,0,Other,35,Comedy,Egypt
"Mexico, United Kingdom, United States of America",2010,Soap,275.596,459,7.7,1,es,36,Soap,Mexico
Unknown,2010,"Soap, Comedy, Drama",187.223,11,6.4,0,es,37,Soap,Unknown
United Kingdom,2010,Drama,218.91,1036,8.1,1,en,38,Drama,United Kingdom
Australia,2010,Reality,252.256,19,5.4,0,en,39,Reality,Australia
South Korea,2010,Unknown,184.227,1,3.0,0,ko,40,Unknown,South Korea
